က/v|ခြင်း/part	ကခြင်း
ကတ်ချ/n|ပင်လယ်ကွေ့/n	ကတ်ချပင်လယ်ကွေ့
ကနဦး/n|အစ/n	ကနဦးအစ
ကနိသျှက/n|မင်း/n	ကနိသျှကမင်း
ကနေဒါ/n|နိုင်ငံ/n	ကနေဒါနိုင်ငံ
ကန္ဒီ/n|အစည်းအဝေး/n	ကန္ဒီအစည်းအဝေး
ကန္နီ/n|ရွာ/n	ကန္နီရွာ
ကန်/n|ရာသီ/n	ကန်ရာသီ
ကန်ချန်ဂျန်ဂါ/n|တောင်/n	ကန်ချန်ဂျန်ဂါတောင်
ကန်စု/n|ဒေသ/n	ကန်စုဒေသ
ကန်တော်ကလေး/n|ဦးဖိုးအိမ်/n	ကန်တော်ကလေးဦးဖိုးအိမ်
ကန်တော်ကလေးမြူ/n|ကျောင်း/n	ကန်တော်ကလေးမြူကျောင်း
ကန်ထရိုက်/n|စနစ်/n	ကန်ထရိုက်စနစ်
ကန်ထရိုက်/n|စာချုပ်/n	ကန်ထရိုက်စာချုပ်
ကန်ဒီ/n|အစည်းအဝေး/n	ကန်ဒီအစည်းအဝေး
ကန်ပေါင်ချမ်/n|ဒေသ/n	ကန်ပေါင်ချမ်ဒေသ
ကန်ရှီး/n|ဘုရင်/n	ကန်ရှီးဘုရင်
ကန်သုံးဆင့်/n|ရေကန်/n	ကန်သုံးဆင့်ရေကန်
ကန့်/n|အက်တမ်/n	ကန့်အက်တမ်
ကန့်ကွက်/v|ချက်/part	ကန့်ကွက်ချက်
ကန့်ကွက်/v|ဆန္ဒပြ/v|မှု/part	ကန့်ကွက်ဆန္ဒပြမှု
ကန့်ကွက်/v|ဆန္ဒပြ/v|သူ/n	ကန့်ကွက်ဆန္ဒပြသူ
ကန့်ကွက်/v|မှု/part	ကန့်ကွက်မှု
ကန့်သတ်/v|ချက်/part	ကန့်သတ်ချက်
ကန့်သတ်/v|ချုပ်ချယ်/v|ခြင်း/part	ကန့်သတ်ချုပ်ချယ်ခြင်း
ကန့်သတ်/v|ခြင်း/part	ကန့်သတ်ခြင်း
ကပ္ပလီ/n|ကျွန်း/n	ကပ္ပလီကျွန်း
ကပ္ပလီ/n|ပင်လယ်/n	ကပ္ပလီပင်လယ်
ကပ္ပလီ/n|ပင်လယ်ပြင်/n	ကပ္ပလီပင်လယ်ပြင်
ကပ္ပလီ/n|ပင်လယ်ဝ/n	ကပ္ပလီပင်လယ်ဝ
ကပ်/n|ကြီး/part	ကပ်ကြီး
ကပ်ဆိုက်/v|မှု/part	ကပ်ဆိုက်မှု
ကပ်ဆိုး/n|ကြီး/part	ကပ်ဆိုးကြီး
ကပ်ဆေး/v|ပြောင်းလဲ/v|ခြင်း/part	ကပ်ဆေးပြောင်းလဲခြင်း
ကပွဲ/n|ပါတီ/n	ကပွဲပါတီ
ကဗျာ/n|လင်္ကာ/n|ကြီး/part	ကဗျာလင်္ကာကြီး
ကမာရွတ်/n|မြို့နယ်/n	ကမာရွတ်မြို့နယ်
ကမ္ဗလ/n|နဂါး/n	ကမ္ဗလနဂါး
ကမ္ဗလဿတရာ/n|နဂါး/n|စစ်သူကြီး/n	ကမ္ဗလဿတရာနဂါးစစ်သူကြီး
ကမ္ဗောဇ/n|နိုင်ငံ/n	ကမ္ဗောဇနိုင်ငံ
ကမ္ဗောဇ/n|ပြည်/n	ကမ္ဗောဇပြည်
ကမ္ဗောဇ/n|ပြည်/n|ဒေသ/n	ကမ္ဗောဇပြည်ဒေသ
ကမ္ဘာ/n|ကြီး/part	ကမ္ဘာကြီး
ကမ္ဘာ/n|ဂြိုဟ်/n	ကမ္ဘာဂြိုဟ်
ကမ္ဘာ/n|စစ်/n	ကမ္ဘာစစ်
ကမ္ဘာ/n|စစ်/n|ကြီး/part	ကမ္ဘာစစ်ကြီး
ကမ္ဘာ/n|စစ်/n|ဒဏ်/n	ကမ္ဘာစစ်ဒဏ်
ကမ္ဘာ/n|စစ်/n|မီး/n	ကမ္ဘာစစ်မီး
ကမ္ဘာ/n|စစ်ပွဲ/n	ကမ္ဘာစစ်ပွဲ
ကမ္ဘာ/n|စံတော်ချိန်/n	ကမ္ဘာစံတော်ချိန်
ကမ္ဘာ/n|တစ်ဝှမ်းလုံး/n	ကမ္ဘာတစ်ဝှမ်းလုံး
ကမ္ဘာ/n|နိုင်ငံ/n	ကမ္ဘာနိုင်ငံ
ကမ္ဘာ/n|ပထဝီ/n|မြေ/n	ကမ္ဘာပထဝီမြေ
ကမ္ဘာ/n|ပထဝီ/n|မြေ/n|နိယာမ/n|စာအုပ်/n	ကမ္ဘာပထဝီမြေနိယာမစာအုပ်
ကမ္ဘာ/n|ပထဝီ/n|မြေကြီး/n	ကမ္ဘာပထဝီမြေကြီး
ကမ္ဘာ/n|မြေပြင်/n	ကမ္ဘာမြေပြင်
ကမ္ဘာ/n|မြောက်/n|ပိုင်း/part	ကမ္ဘာမြောက်ပိုင်း
ကမ္ဘာ/n|လုံး/part|ဆိုင်ရာ/n|ကုန်သွယ်/v|ရေး/part	ကမ္ဘာလုံးဆိုင်ရာကုန်သွယ်ရေး
ကမ္ဘာ/n|လောက/n|ကြီး/part	ကမ္ဘာလောကကြီး
ကမ္ဘာ/n|သူ/n|ကမ္ဘာ/n|သား/n	ကမ္ဘာသူကမ္ဘာသား
ကမ္ဘာ/n|ဦး/n	ကမ္ဘာဦး
ကမ္ဘာရပ်ခြား/n|စီးပွားရှာသမား/n	ကမ္ဘာရပ်ခြားစီးပွားရှာသမား
ကမ္ဘာလုံး/n|ဆိုင်ရာ/n	ကမ္ဘာလုံးဆိုင်ရာ
ကမ္ဘာလုံး/n|ဆိုင်ရာ/n|ဝန်ဆောင်/v|မှု/part	ကမ္ဘာလုံးဆိုင်ရာဝန်ဆောင်မှု
ကမ္ဘာလှည့်ခရီးသွား/n|လုပ်ငန်း/n	ကမ္ဘာလှည့်ခရီးသွားလုပ်ငန်း
ကမ္ဘာအေး/n|စေတီတော်/n	ကမ္ဘာအေးစေတီတော်
ကမ္ဘာ့/n|ကယ်ဆယ်/v|ရေး/part	ကမ္ဘာ့ကယ်ဆယ်ရေး
ကမ္ဘာ့/n|ကုန်သွယ်/v|ရေး/part|အဖွဲ့/n	ကမ္ဘာ့ကုန်သွယ်ရေးအဖွဲ့
ကမ္ဘာ့/n|ကုန်သွယ်/v|ရေး/part|အဖွဲ့အစည်း/n	ကမ္ဘာ့ကုန်သွယ်ရေးအဖွဲ့အစည်း
ကမ္ဘာ့/n|ကုလသမဂ္ဂ/n	ကမ္ဘာ့ကုလသမဂ္ဂ
ကမ္ဘာ့/n|ကုလသမဂ္ဂ/n|ဌာနချုပ်/n	ကမ္ဘာ့ကုလသမဂ္ဂဌာနချုပ်
ကမ္ဘာ့/n|ကုလသမဂ္ဂ/n|လုံခြုံ/v|ရေး/part|ကောင်စီ/n	ကမ္ဘာ့ကုလသမဂ္ဂလုံခြုံရေးကောင်စီ
ကမ္ဘာ့/n|ကုလသမဂ္ဂ/n|အဖွဲ့/n	ကမ္ဘာ့ကုလသမဂ္ဂအဖွဲ့
ကမ္ဘာ့/n|ကျန်းမာ/v|ရေး/part|အဖွဲ့/n	ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့
ကမ္ဘာ့/n|ဂန္ထဝင်/n	ကမ္ဘာ့ဂန္ထဝင်
ကမ္ဘာ့/n|ငြိမ်းချမ်း/adj|ရေး/part	ကမ္ဘာ့ငြိမ်းချမ်းရေး
ကမ္ဘာ့/n|ငြိမ်းချမ်း/adj|ရေး/part|ကောင်စီ/n	ကမ္ဘာ့ငြိမ်းချမ်းရေးကောင်စီ
ကမ္ဘာ့/n|ငြိမ်းချမ်း/adj|ရေး/part|ကွန်ဂရက်/n	ကမ္ဘာ့ငြိမ်းချမ်းရေးကွန်ဂရက်
ကမ္ဘာ့/n|ငွေ/n|လဲနှုန်း/n	ကမ္ဘာ့ငွေလဲနှုန်း
ကမ္ဘာ့/n|ငွေကြေး/n	ကမ္ဘာ့ငွေကြေး
ကမ္ဘာ့/n|ငွေကြေး/n|ဈေးကွက်/n	ကမ္ဘာ့ငွေကြေးဈေးကွက်
ကမ္ဘာ့/n|စားနပ်ရိက္ခာ/n	ကမ္ဘာ့စားနပ်ရိက္ခာ
ကမ္ဘာ့/n|စားနပ်ရိက္ခာ/n|အစီအစဉ်/n	ကမ္ဘာ့စားနပ်ရိက္ခာအစီအစဉ်
ကမ္ဘာ့/n|စားနပ်ရိက္ခာ/n|အဖွဲ့/n	ကမ္ဘာ့စားနပ်ရိက္ခာအဖွဲ့
ကမ္ဘာ့/n|စားနပ်ရိက္ခာ/n|အဖွဲ့အစည်း/n	ကမ္ဘာ့စားနပ်ရိက္ခာအဖွဲ့အစည်း
ကမ္ဘာ့/n|စွယ်စုံကျမ်း/n	ကမ္ဘာ့စွယ်စုံကျမ်း
ကမ္ဘာ့/n|ဇာတ်ခုံ/n|ကြီး/part	ကမ္ဘာ့ဇာတ်ခုံကြီး
ကမ္ဘာ့/n|တရားမျှတ/v|မှု/part|စီမံကိန်း/n	ကမ္ဘာ့တရားမျှတမှုစီမံကိန်း
ကမ္ဘာ့/n|တေးသံ/n	ကမ္ဘာ့တေးသံ
ကမ္ဘာ့/n|နိုင်ငံ/n	ကမ္ဘာ့နိုင်ငံ
ကမ္ဘာ့/n|နေရာ/n	ကမ္ဘာ့နေရာ
ကမ္ဘာ့/n|ပညာ/n	ကမ္ဘာ့ပညာ
ကမ္ဘာ့/n|ပြဿနာ/n	ကမ္ဘာ့ပြဿနာ
ကမ္ဘာ့/n|ဗုဒ္ဓ/n|ဘာသာ/n	ကမ္ဘာ့ဗုဒ္ဓဘာသာ
ကမ္ဘာ့/n|ဘဏ်/n	ကမ္ဘာ့ဘဏ်
ကမ္ဘာ့/n|ဘာသာ/n|ကြီး/part	ကမ္ဘာ့ဘာသာကြီး
ကမ္ဘာ့/n|မွတ်စလင်/n	ကမ္ဘာ့မွတ်စလင်
ကမ္ဘာ့/n|မှတ်တမ်း/n	ကမ္ဘာ့မှတ်တမ်း
ကမ္ဘာ့/n|ရေကြောင်း/n	ကမ္ဘာ့ရေကြောင်း
ကမ္ဘာ့/n|လူဦးရေ/n	ကမ္ဘာ့လူဦးရေ
ကမ္ဘာ့/n|လေထု/n	ကမ္ဘာ့လေထု
ကမ္ဘာ့/n|လွတ်လပ်/v|မှု/part	ကမ္ဘာ့လွတ်လပ်မှု
ကမ္ဘာ့/n|ဝန်ဆောင်/v|မှု/part	ကမ္ဘာ့ဝန်ဆောင်မှု
ကမ္ဘာ့/n|ဝါဒဖြန့်/v|မှု/part	ကမ္ဘာ့ဝါဒဖြန့်မှု
ကမ္ဘာ့/n|အကူအညီ/n	ကမ္ဘာ့အကူအညီ
ကမ္ဘာ့/n|အခြေအနေ/n	ကမ္ဘာ့အခြေအနေ
ကမ္ဘာ့/n|အစီရင်ခံစာ/n	ကမ္ဘာ့အစီရင်ခံစာ
ကမ္ဘာ့/n|အဆင့်/n	ကမ္ဘာ့အဆင့်
ကမ္ဘာ့/n|အနှံ့အပြား/adv	ကမ္ဘာ့အနှံ့အပြား
ကမ္ဘာ့/n|အမွေအနှစ်/n	ကမ္ဘာ့အမွေအနှစ်
ကမ္ဘာ့/n|အရှေ့/n	ကမ္ဘာ့အရှေ့
ကမ္ဘာ့/n|အရှေ့/n|ဖျား/n	ကမ္ဘာ့အရှေ့ဖျား
ကမ္ဘာ့/n|အသက်/n	ကမ္ဘာ့အသက်
ကမ္ဘာ့/n|အံ့ချီး/v|ဖွယ်/part|ရာ/part	ကမ္ဘာ့အံ့ချီးဖွယ်ရာ
ကမ္ဘာ့/n|အံ့ဖွယ်/n|အရာ/n	ကမ္ဘာ့အံ့ဖွယ်အရာ
ကမ္ဘောဇသာဒီ/n|နန်းတော်/n	ကမ္ဘောဇသာဒီနန်းတော်
ကမ္ဘောဒီးယား/n|နိုင်ငံ/n	ကမ္ဘောဒီးယားနိုင်ငံ
ကမ္ဘောဒီးယား/n|အစိုးရ/n	ကမ္ဘောဒီးယားအစိုးရ
ကမ္ဘောဒီးယား/n|အရာရှိ/n	ကမ္ဘောဒီးယားအရာရှိ
ကမ္မလေး/n|ရွာ/n	ကမ္မလေးရွာ
ကမ်းခြေ/n|အပန်းဖြေစခန်း/n	ကမ်းခြေအပန်းဖြေစခန်း
ကမ်းမြောင်/n|ဒေသ/n	ကမ်းမြောင်ဒေသ
ကမ်းရိုးတန်း/n|ဒေသ/n	ကမ်းရိုးတန်းဒေသ
ကမ်းရိုးတန်း/n|လွင်ပြင်/n	ကမ်းရိုးတန်းလွင်ပြင်
ကမ်းရိုးတန်း/n|လွင်ပြင်/n|ဒေသ/n	ကမ်းရိုးတန်းလွင်ပြင်ဒေသ
ကမ်းလှမ်း/v|ချက်/part	ကမ်းလှမ်းချက်
ကယား/n|စာပေ/n	ကယားစာပေ
ကယား/n|တိုင်းရင်းသား/n	ကယားတိုင်းရင်းသား
ကယား/n|ပြည်/n	ကယားပြည်
ကယား/n|ပြည်နယ်/n	ကယားပြည်နယ်
ကယား/n|လူမျိုး/n	ကယားလူမျိုး
ကယ်ဆယ်/v|ခြင်း/part	ကယ်ဆယ်ခြင်း
ကယ်ဆယ်/v|ရေး/part	ကယ်ဆယ်ရေး
ကယ်ဆယ်/v|ရေး/part|ဆိုင်ရာ/n	ကယ်ဆယ်ရေးဆိုင်ရာ
ကယ်ဆယ်/v|ရေး/part|ပစ္စည်း/n	ကယ်ဆယ်ရေးပစ္စည်း
ကယ်ဆယ်/v|ရေး/part|လေယာဉ်/n	ကယ်ဆယ်ရေးလေယာဉ်
ကယ်ဆယ်/v|ရေး/part|အကူအညီ/n	ကယ်ဆယ်ရေးအကူအညီ
ကယ်ဆယ်/v|ရေး/part|အဖွဲ့/n	ကယ်ဆယ်ရေးအဖွဲ့
ကယ်ဆယ်/v|ရေး/part|အလုပ်/n	ကယ်ဆယ်ရေးအလုပ်
ကယ်ဆယ်/v|ရေး/part|အသင်း/n	ကယ်ဆယ်ရေးအသင်း
ကယ်လီဖိုးနီးယား/n|ပြည်နယ်/n	ကယ်လီဖိုးနီးယားပြည်နယ်
ကရကဋ်/n|ရာသီ/n	ကရကဋ်ရာသီ
ကရင်/n|ခေါင်းဆောင်/n	ကရင်ခေါင်းဆောင်
ကရင်/n|တပ်ရင်း/n	ကရင်တပ်ရင်း
ကရင်/n|ပြည်နယ်/n	ကရင်ပြည်နယ်
ကရင်/n|ဗမာ/n|အဓိကရုဏ်း/n	ကရင်ဗမာအဓိကရုဏ်း
ကရင်/n|လူမျိုး/n	ကရင်လူမျိုး
ကရင်/n|သူပုန်/n|စခန်း/n	ကရင်သူပုန်စခန်း
ကရင်/n|သူပုန်/n|ဌာနချုပ်/n	ကရင်သူပုန်ဌာနချုပ်
ကရင်/n|သူပုန်/n|အခြေစိုက်/v|စခန်း/n	ကရင်သူပုန်အခြေစိုက်စခန်း
ကရင်/n|အမျိုးသား/n	ကရင်အမျိုးသား
ကရာကူ/n|သိုး/n	ကရာကူသိုး
ကရာလာ/n|နယ်/n	ကရာလာနယ်
ကရိုမိုက်/n|သတ္တု/n	ကရိုမိုက်သတ္တု
ကရုဏာ/n|စိတ်/n	ကရုဏာစိတ်
ကလက္ကတား/n|တက္ကသိုလ်/n	ကလက္ကတားတက္ကသိုလ်
ကလောင်/n|နာမည်/n	ကလောင်နာမည်
ကလောင်/n|အမည်/n	ကလောင်အမည်
ကလေး/n|ကစားကွင်း/n	ကလေးကစားကွင်း
ကလေး/n|စစ်သား/n	ကလေးစစ်သား
ကလေး/n|စွယ်စုံကျမ်း/n	ကလေးစွယ်စုံကျမ်း
ကလေး/n|ပစ္စည်း/n	ကလေးပစ္စည်း
ကလေး/n|ဘဝ/n	ကလေးဘဝ
ကလေး/n|လူငယ်/n	ကလေးလူငယ်
ကလေး/n|လူငယ်/n|လူရွယ်/n	ကလေးလူငယ်လူရွယ်
ကလေး/n|သူငယ်/n	ကလေးသူငယ်
ကလေး/n|အလုပ်သမား/n	ကလေးအလုပ်သမား
ကလဲမင့်/n|အက်တလီ/n	ကလဲမင့်အက်တလီ
ကလဲ့စားချေ/v|ခြင်း/part	ကလဲ့စားချေခြင်း
ကဝိတံခွန်/n|မဂ္ဂဇင်း/n	ကဝိတံခွန်မဂ္ဂဇင်း
ကဝိမျက်မှန်/n|မဂ္ဂဇင်း/n	ကဝိမျက်မှန်မဂ္ဂဇင်း
ကသစ်/n|မဟာဘုတ်/n	ကသစ်မဟာဘုတ်
ကသာ/n|ခရိုင်/n	ကသာခရိုင်
ကသ္မီရ/n|ပြည်နယ်/n	ကသ္မီရပြည်နယ်
ကသ္မီရ/n|ရှောစောင်/n	ကသ္မီရရှောစောင်
ကာကီ/n|ဝတ်စုံ/n	ကာကီဝတ်စုံ
ကာကွယ်/v|စောင့်ရှောက်/v|ခြင်း/part	ကာကွယ်စောင့်ရှောက်ခြင်း
ကာကွယ်/v|ပိုင်/v|ခွင့်/n	ကာကွယ်ပိုင်ခွင့်
ကာကွယ်/v|မှု/part	ကာကွယ်မှု
ကာကွယ်/v|ရာ/part	ကာကွယ်ရာ
ကာကွယ်/v|ရေး/part	ကာကွယ်ရေး
ကာကွယ်/v|ရေး/part|စနစ်/n	ကာကွယ်ရေးစနစ်
ကာကွယ်/v|ရေး/part|ဝန်ကြီး/n	ကာကွယ်ရေးဝန်ကြီး
ကာကွယ်/v|ရေး/part|ဝန်ကြီးဌာန/n	ကာကွယ်ရေးဝန်ကြီးဌာန
ကာကွယ်/v|ရေး/part|ဦးစီးချုပ်/n	ကာကွယ်ရေးဦးစီးချုပ်
ကာကွယ်/v|ရေး/part|ဦးစီးချုပ်/n|ရေ/n	ကာကွယ်ရေးဦးစီးချုပ်ရေ
ကာကွယ်/v|ရေး/part|ဦးစီးချုပ်/n|လေ/n	ကာကွယ်ရေးဦးစီးချုပ်လေ
ကာကွယ်ပေး/v|သူ/n	ကာကွယ်ပေးသူ
ကာစီနို/n|လောင်းကစားရုံ/n	ကာစီနိုလောင်းကစားရုံ
ကာတွန်း/n|စာအုပ်/n	ကာတွန်းစာအုပ်
ကာနတက/n|ပြည်နယ်/n	ကာနတကပြည်နယ်
ကာဗွန်ဒိုင်အောက်ဆိုက်/n|ဓာတ်ငွေ့/n	ကာဗွန်ဒိုင်အောက်ဆိုက်ဓာတ်ငွေ့
ကာဗွန်မွန်အောက်ဆိုက်/n|ဓာတ်ငွေ့/n	ကာဗွန်မွန်အောက်ဆိုက်ဓာတ်ငွေ့
ကာဘွန်ဒိုင်အောက်ဆိုက်ဒ်/n|ဓာတ်/n	ကာဘွန်ဒိုင်အောက်ဆိုက်ဒ်ဓာတ်
ကာမရူပီ/n|နဂါး/n|မျိုး/n	ကာမရူပီနဂါးမျိုး
ကာမိ/v|စေ/part|ကြောင်း/part	ကာမိစေကြောင်း
ကာလ/n|တွင်း/n	ကာလတွင်း
ကာလ/n|ဒေသ/n	ကာလဒေသ
ကာလကတ္တား/n|တက္ကသိုလ်/n	ကာလကတ္တားတက္ကသိုလ်
ကာလကတ္တား/n|မြို့/n	ကာလကတ္တားမြို့
ကာလာ/n|ဖလင်/n	ကာလာဖလင်
ကာဠ/n|ခြင်္သေ့/n	ကာဠခြင်္သေ့
ကား/n|ဂိုထောင်/n	ကားဂိုထောင်
ကား/n|ဆရာ/n	ကားဆရာ
ကားလမ်း/n|ကြီး/part	ကားလမ်းကြီး
ကိန္နရာ/n|ရုပ်/n	ကိန္နရာရုပ်
ကိန္နရီမ/n|ရုပ်/n	ကိန္နရီမရုပ်
ကိန်း/n|စနစ်/n	ကိန်းစနစ်
ကိန်းခန်း/n|ဖြစ်/v|လာ/part|ပုံ/part	ကိန်းခန်းဖြစ်လာပုံ
ကိန်းဘရစ်ချ်/n|တက္ကသိုလ်/n	ကိန်းဘရစ်ချ်တက္ကသိုလ်
ကိန်းအောင်း/v|နေ/part|ကြောင်း/part	ကိန်းအောင်းနေကြောင်း
ကိမ်းဗရစ်/n|တက္ကသိုလ်/n	ကိမ်းဗရစ်တက္ကသိုလ်
ကိရိယာ/n|တန်ဆာပလာ/n	ကိရိယာတန်ဆာပလာ
ကိုကိုး/n|ကျွန်း/n	ကိုကိုးကျွန်း
ကိုက်ညီ/v|မှု/part	ကိုက်ညီမှု
ကိုင်တွယ်/v|စရာ/part	ကိုင်တွယ်စရာ
ကိုင်းရှိုင်း/v|သူ/n	ကိုင်းရှိုင်းသူ
ကိုစီ/n|မြစ်/n	ကိုစီမြစ်
ကိုဒက်ရီဘာဆယ်/n|ဖလင်/n	ကိုဒက်ရီဘာဆယ်ဖလင်
ကိုမိုရင်/n|အငူ/n	ကိုမိုရင်အငူ
ကိုယ်/n|အမွေး/n|အရောင်/n	ကိုယ်အမွေးအရောင်
ကိုယ်/n|အရွယ်/n	ကိုယ်အရွယ်
ကိုယ်/n|အလေးချိန်/n	ကိုယ်အလေးချိန်
ကိုယ်/pron|၎င်း/pron	ကိုယ်၎င်း
ကိုယ်စားပြု/v|ခြင်း/part	ကိုယ်စားပြုခြင်း
ကိုယ်စားပြု/v|မှု/part	ကိုယ်စားပြုမှု
ကိုယ်စားလှယ်/n|အဖွဲ့/n	ကိုယ်စားလှယ်အဖွဲ့
ကိုယ်စားလှယ်/n|အဖွဲ့/n|ဝင်/v	ကိုယ်စားလှယ်အဖွဲ့ဝင်
ကိုယ်တွင်း/n|ကလီစာ/n	ကိုယ်တွင်းကလီစာ
ကိုယ်တွင်း/n|အား/n	ကိုယ်တွင်းအား
ကိုယ်ထည်/n|သဏ္ဌာန်/n	ကိုယ်ထည်သဏ္ဌာန်
ကိုယ်ပိုင်/n|ဉာဏ်/n	ကိုယ်ပိုင်ဉာဏ်
ကိုယ်ပိုင်/n|အုပ်ချုပ်/v|ရေး/part	ကိုယ်ပိုင်အုပ်ချုပ်ရေး
ကိုယ်ပိုင်အုပ်ချုပ်/v|ရေး/part	ကိုယ်ပိုင်အုပ်ချုပ်ရေး
ကိုယ်လုံး/n|ကိုယ်ဖန်/n	ကိုယ်လုံးကိုယ်ဖန်
ကိုယ်ဝန်ဆောင်/n|မိခင်/n	ကိုယ်ဝန်ဆောင်မိခင်
ကိုယ်ဝန်ဆောင်/n|ဝက်မ/n	ကိုယ်ဝန်ဆောင်ဝက်မ
ကိုယ်ဟန်/n|အမူအရာ/n	ကိုယ်ဟန်အမူအရာ
ကိုယ့်မင်းကိုယ့်ချင်း/n|လမ်း/n	ကိုယ့်မင်းကိုယ့်ချင်းလမ်း
ကိုရီးယား/n|လူမျိုး/n	ကိုရီးယားလူမျိုး
ကိုလာ/n|ခရိုင်/n	ကိုလာခရိုင်
ကိုလိုနီ/n|ခေတ်/n	ကိုလိုနီခေတ်
ကိုလိုနီ/n|ဒေသ/n	ကိုလိုနီဒေသ
ကိုလိုနီ/n|နယ်ချဲ့/n	ကိုလိုနီနယ်ချဲ့
ကိုလိုနီ/n|နယ်ချဲ့/n|ကြီး/part	ကိုလိုနီနယ်ချဲ့ကြီး
ကိုလိုနီ/n|နိုင်ငံ/n	ကိုလိုနီနိုင်ငံ
ကိုလိုနီ/n|နိုင်ငံ/n|ကြီး/part	ကိုလိုနီနိုင်ငံကြီး
ကိုလိုနီ/n|ပိုင်နက်/n	ကိုလိုနီပိုင်နက်
ကိုလိုနီ/n|ပြုလုပ်/v|ခြင်း/part	ကိုလိုနီပြုလုပ်ခြင်း
ကိုလိုနီ/n|ဝါဒ/n	ကိုလိုနီဝါဒ
ကိုလိုနီ/n|အစိုးရ/n	ကိုလိုနီအစိုးရ
ကိုလိုနီပြု/v|ခြင်း/part	ကိုလိုနီပြုခြင်း
ကိုလံဘို/n|မြို့/n	ကိုလံဘိုမြို့
ကိုးကွယ်/v|ခယ/v|ခြင်း/part	ကိုးကွယ်ခယခြင်း
ကိုးကွယ်/v|ခွင့်/n	ကိုးကွယ်ခွင့်
ကိုးကွယ်/v|မှု/part	ကိုးကွယ်မှု
ကိုးကွယ်/v|ယုံကြည်/v|မှု/part	ကိုးကွယ်ယုံကြည်မှု
ကိုးကွယ်/v|ယုံကြည်/v|သူ/n	ကိုးကွယ်ယုံကြည်သူ
ကိုးကွယ်/v|ရာ/part	ကိုးကွယ်ရာ
ကိုးကွယ်/v|သူ/n	ကိုးကွယ်သူ
ကိုးရီးယား/n|စကား/n	ကိုးရီးယားစကား
