ဆရာကြီး/n|ဦးစိန်/n	ဆရာကြီးဦးစိန်
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
ဖြစ်/v|ကြောင်း/part	ဖြစ်ကြောင်း
ဗိုလ်/n|လင်္ကျာ/n	ဗိုလ်လင်္ကျာ
အကြံပေး/v|ချက်/part	အကြံပေးချက်
နိုင်ငံ/n|ရေး/part|နယ်ပယ်/n	နိုင်ငံရေးနယ်ပယ်
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အရှေ့တောင်/n|အာရှ/n	အရှေ့တောင်အာရှ
ဂျပန်/n|ပြည်/n	ဂျပန်ပြည်
အိန္ဒိယ/n|နိုင်ငံ/n	အိန္ဒိယနိုင်ငံ
စီးပွား/n|ရေး/part	စီးပွားရေး
စစ်/n|အစိုးရ/n	စစ်အစိုးရ
ဆက်နွယ်/v|မှု/part	ဆက်နွယ်မှု
စစ်/n|အစိုးရ/n	စစ်အစိုးရ
စာ/n|စကား/n	စာစကား
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
နိုင်ငံ/n|ရေး/part	နိုင်ငံရေး
မိသားစု/n|ကိစ္စ/n	မိသားစုကိစ္စ
ရေးသား/v|ခြင်း/part	ရေးသားခြင်း
လုပ်ဆောင်/v|လိုလား/v|ကြောင်း/part	လုပ်ဆောင်လိုလားကြောင်း
အောက်တိုဘာ/n|လ/n	အောက်တိုဘာလ
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
နိုင်ငံ/n|ရေး/part	နိုင်ငံရေး
နိုင်ငံ/n|ရေး/part	နိုင်ငံရေး
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ခရစ်ယာန်/n|ဘာသာ/n|ဝင်/v	ခရစ်ယာန်ဘာသာဝင်
မြန်မာ/n|နှစ်ခြင်း/n|ကွန်ဗင်ရှင်း/n	မြန်မာနှစ်ခြင်းကွန်ဗင်ရှင်း
အသင်း/n|ဝင်/v	အသင်းဝင်
နှစ်ခြင်း/n|ခရစ်ယာန်/n	နှစ်ခြင်းခရစ်ယာန်
သိပ္ပံ/n|လောက/n	သိပ္ပံလောက
ပဲခူး/n|မြို့/n	ပဲခူးမြို့
ပဲခူး/n|တိုင်း/n	ပဲခူးတိုင်း
အောက်/n|မြန်မာ/n|နိုင်ငံ/n	အောက်မြန်မာနိုင်ငံ
ဗဟို/n|ဌာန/n	ဗဟိုဌာန
မွန်/n|မင်း/n|နေပြည်တော်/n	မွန်မင်းနေပြည်တော်
ပြည်ထောင်စု/n|မြန်မာ/n|နိုင်ငံ/n|ကြီး/part	ပြည်ထောင်စုမြန်မာနိုင်ငံကြီး
တိုက်ခိုက်/v|ခဲ့/part|ခြင်း/part	တိုက်ခိုက်ခဲ့ခြင်း
ဧရာဝတီ/n|တိုင်း/n	ဧရာဝတီတိုင်း
မြောင်းမြ/n|ခရိုင်/n	မြောင်းမြခရိုင်
ဝါးခယ်မ/n|မြို့/n	ဝါးခယ်မမြို့
မေ/n|လ/n	မေလ
စနေ/n|နေ့/n	စနေနေ့
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ဒေသ/n|တွင်း/n	ဒေသတွင်း
ဗြိတိသျှ/n|တပ်ဖွဲ့/n	ဗြိတိသျှတပ်ဖွဲ့
ပူတောင်း/n|ကျေးရွာ/n	ပူတောင်းကျေးရွာ
မလေးရှား/n|ဖက်ဒရယ်/n|ပြည်ထောင်စု/n	မလေးရှားဖက်ဒရယ်ပြည်ထောင်စု
ကဆုန်/n|လ/n	ကဆုန်လ
အထိမ်းအမှတ်/n|ပန်း/n	အထိမ်းအမှတ်ပန်း
မြန်မာ/n|စစ်တပ်/n	မြန်မာစစ်တပ်
မြန်မာ့/n|ကြည်းတပ်/n	မြန်မာ့ကြည်းတပ်
ကုလသမဂ္ဂ/n|လူ့/n|အခွင့်အရေး/n|ကော်မရှင်/n	ကုလသမဂ္ဂလူ့အခွင့်အရေးကော်မရှင်
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
လူ့/n|အခွင့်အရေး/n	လူ့အခွင့်အရေး
ချိုးဖောက်/v|မှု/part	ချိုးဖောက်မှု
ဆူဖီရစ်ဝဲ/n|ခြင်း/part	ဆူဖီရစ်ဝဲခြင်း
ဆန္ဒပြ/v|မှု/part	ဆန္ဒပြမှု
ဖြစ်မြောက်/v|ရေး/part	ဖြစ်မြောက်ရေး
မဇ္ဈ/n|ဒေသ/n	မဇ္ဈဒေသ
ဩရိဿ/n|နယ်စပ်/n	ဩရိဿနယ်စပ်
မဇ္ဈ/n|ဒေသ/n	မဇ္ဈဒေသ
ရာဇဌာန်/n|နယ်စပ်/n	ရာဇဌာန်နယ်စပ်
အန္ဓရ/n|ကမ်းရိုးတန်း/n	အန္ဓရကမ်းရိုးတန်း
အလယ်/n|ပိုင်း/part	အလယ်ပိုင်း
ကာနတက/n|ပြည်နယ်/n	ကာနတကပြည်နယ်
ဂျပန်/n|ယန်း/n	ဂျပန်ယန်း
ဖြစ်/v|သူ/n	ဖြစ်သူ
ပညာ/n|ရေး/part	ပညာရေး
အားကောင်း/adj|ကြောင်း/part	အားကောင်းကြောင်း
ဗုဒ္ဓ/n|ဘာသာ/n	ဗုဒ္ဓဘာသာ
အမျိုးသား/n|ကျောင်း/n	အမျိုးသားကျောင်း
စွဲ/v|သူ/n	စွဲသူ
ရွှေ/n|တံဆိပ်/n	ရွှေတံဆိပ်
ပညာသင်/v|ထောက်ပံ့ကြေး/n|ဆု/n	ပညာသင်ထောက်ပံ့ကြေးဆု
ဂရိ/n|ခေတ်/n	ဂရိခေတ်
မျက်မှောက်/n|ခေတ်/n	မျက်မှောက်ခေတ်
လောကီ/n|ရတနာ/n	လောကီရတနာ
လောကုတ္တရာ/n|ရတနာ/n	လောကုတ္တရာရတနာ
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
ဖြောင့်မတ်/adj|မှု/part	ဖြောင့်မတ်မှု
စိတ်/n|သတ္တိ/n	စိတ်သတ္တိ
ဝန်ကြီးချုပ်/n|ဂေါ်ဒန်ဘရောင်း/n	ဝန်ကြီးချုပ်ဂေါ်ဒန်ဘရောင်း
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အုပ်ချုပ်/v|မှု/part	အုပ်ချုပ်မှု
လေကြောင်း/n|ပို့ဆောင်/v|မှု/part	လေကြောင်းပို့ဆောင်မှု
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ချိုးဖောက်/v|ခဲ့/part|ခြင်း/part	ချိုးဖောက်ခဲ့ခြင်း
တရုတ်/n|ဘာသာ/n	တရုတ်ဘာသာ
ထုတ်လုပ်/v|မှု/part	ထုတ်လုပ်မှု
ဗုဒ္ဓဟူး/n|ဂြိုဟ်/n	ဗုဒ္ဓဟူးဂြိုဟ်
မြိတ်/n|မြို့/n	မြိတ်မြို့
မြန်မာ/n|ဘုရင်/n	မြန်မာဘုရင်
ယိုးဒယား/n|ဘုရင်/n	ယိုးဒယားဘုရင်
မြိတ်/n|ဒေသ/n	မြိတ်ဒေသ
မြန်မာ/n|ကောက်တော်/n	မြန်မာကောက်တော်
ဘုရင့်/n|အမိန့်တော်/n	ဘုရင့်အမိန့်တော်
တာဝန်/n|ဝတ္တရား/n	တာဝန်ဝတ္တရား
ဘုံဘေဘားမား/n|သစ်/n|ကုမ္ပဏီ/n	ဘုံဘေဘားမားသစ်ကုမ္ပဏီ
သပ္ပါယ်/v|ဖြစ်/part|ပုံ/part	သပ္ပါယ်ဖြစ်ပုံ
ဘင်္ဂလားဒေ့ရှ်/n|နိုင်ငံ/n	ဘင်္ဂလားဒေ့ရှ်နိုင်ငံ
တောင်/n|အာရှ/n|နိုင်ငံ/n	တောင်အာရှနိုင်ငံ
ဖွံ့ဖြိုး/adj|မှု/part	ဖွံ့ဖြိုးမှု
ရည်ရွယ်/v|ချက်/part	ရည်ရွယ်ချက်
ပျူ/n|လူမျိုး/n	ပျူလူမျိုး
နှောင်း/n|ပိုင်း/part	နှောင်းပိုင်း
အလယ်/n|ပိုင်း/part	အလယ်ပိုင်း
ဧရာဝတီ/n|မြစ်ဝှမ်း/n|ဒေသ/n	ဧရာဝတီမြစ်ဝှမ်းဒေသ
တိုင်း/n|နိုင်ငံ/n	တိုင်းနိုင်ငံ
စင်္ကာပူ/n|ရေတပ်/n	စင်္ကာပူရေတပ်
ဆွီဒင်/n|နိုင်ငံ/n	ဆွီဒင်နိုင်ငံ
ရေငုပ်သင်္ဘော/n|တပ်ဖွဲ့/n	ရေငုပ်သင်္ဘောတပ်ဖွဲ့
ရှာချန်/n|ရေခဲမြစ်/n	ရှာချန်ရေခဲမြစ်
အနောက်/n|ဘက်/n	အနောက်ဘက်
ကမ်းရိုးတန်း/n|ဒေသ/n	ကမ်းရိုးတန်းဒေသ
ဘင်္ဂလား/n|ပြည်နယ်/n	ဘင်္ဂလားပြည်နယ်
အာသံ/n|ပြည်နယ်/n	အာသံပြည်နယ်
နိုင်ငံတော်/n|အလံ/n	နိုင်ငံတော်အလံ
မတ်/n|လ/n	မတ်လ
စတင်/v|အသုံးပြု/v|ခြင်း/part	စတင်အသုံးပြုခြင်း
တရုတ်/n|ကွန်မြူနစ်/n	တရုတ်ကွန်မြူနစ်
ဂျပန်/n|တပ်မတော်/n	ဂျပန်တပ်မတော်
ဖြစ်/v|သူ/n	ဖြစ်သူ
ဗိုလ်မှူးကြီး/n|စူဇူကီကေအီဂျီ/n	ဗိုလ်မှူးကြီးစူဇူကီကေအီဂျီ
စတုရန်း/n|မိုင်/n	စတုရန်းမိုင်
ကောင်းကင်/n|တမန်/n	ကောင်းကင်တမန်
စူးစမ်း/v|လေ့လာ/v|ခြင်း/part	စူးစမ်းလေ့လာခြင်း
မြန်မာ/n|အစိုးရ/n	မြန်မာအစိုးရ
လက်ခံ/v|ထား/part|ချက်/part	လက်ခံထားချက်
ဆင်းသက်/v|လာ/part|ခြင်း/part	ဆင်းသက်လာခြင်း
အစာအိမ်/n|ဆေး/n	အစာအိမ်ဆေး
ယူရေးနပ်/n|ဂြိုဟ်/n	ယူရေးနပ်ဂြိုဟ်
ရွေ့လျား/v|မှု/part	ရွေ့လျားမှု
အာကာသ/n|ပညာရှင်/n	အာကာသပညာရှင်
လေဆိပ်/n|ဘတ်စ်ကား/n	လေဆိပ်ဘတ်စ်ကား
အထိမ်းအမှတ်/n|ပန်း/n	အထိမ်းအမှတ်ပန်း
ခွာညို/n|ပန်း/n	ခွာညိုပန်း
လျှပ်စစ်/n|အဖို/n|ဓာတ်/n|ချောင်း/n	လျှပ်စစ်အဖိုဓာတ်ချောင်း
အဖို/n|ဓာတ်/n	အဖိုဓာတ်
အန်နုတ်/n|ရောင်ခြည်/n	အန်နုတ်ရောင်ခြည်
ကွန်ပျူတာ/n|ပရိုဂရမ်/n	ကွန်ပျူတာပရိုဂရမ်
မွေးမြူ/v|ရေး/part	မွေးမြူရေး
ပြစ်ဒဏ်ပေး/v|မှု/part	ပြစ်ဒဏ်ပေးမှု
မုဒိမ်း/n|မှု/part	မုဒိမ်းမှု
အဓိကရုဏ်း/n|မှု/part	အဓိကရုဏ်းမှု
ဖျက်ဆီး/v|မှု/part	ဖျက်ဆီးမှု
ဗြိတိသျှ/n|အင်ပါယာ/n	ဗြိတိသျှအင်ပါယာ
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
လူမျိုး/n|ရေး/part	လူမျိုးရေး
တင်းမာ/v|မှု/part	တင်းမာမှု
ကြိုးစား/v|အားထုတ်/v|မှု/part	ကြိုးစားအားထုတ်မှု
ခရီးသွား/v|ရာ/part	ခရီးသွားရာ
အစိမ်း/n|ရောင်/n	အစိမ်းရောင်
ဖော်ပြ/v|ချက်/part	ဖော်ပြချက်
ယူနီကုတ်/n|စနစ်/n	ယူနီကုတ်စနစ်
အော်ဒါ/n|စာရွက်/n	အော်ဒါစာရွက်
နိုဝင်ဘာ/n|လ/n	နိုဝင်ဘာလ
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အုပ်ချုပ်/v|ရေး/part	အုပ်ချုပ်ရေး
ပျဉ်းမနား/n|မြို့/n	ပျဉ်းမနားမြို့
အနောက်/n|ဘက်/n	အနောက်ဘက်
အစိမ်း/n|ရောင်/n	အစိမ်းရောင်
အထက်တန်း/n|ကျောင်း/n	အထက်တန်းကျောင်း
ဖောင့်/n|ဒီဇိုင်း/n	ဖောင့်ဒီဇိုင်း
ရေးဆွဲ/v|သူ/n	ရေးဆွဲသူ
ဇော်ဂျီ/n|စာလုံး/n|ပုံစံ/n	ဇော်ဂျီစာလုံးပုံစံ
ဆော့ဝဲ/n|လိုင်စင်/n	ဆော့ဝဲလိုင်စင်
ကွန်ပျူတာ/n|ဂျာနယ်/n	ကွန်ပျူတာဂျာနယ်
ခြားနား/v|ချက်/part	ခြားနားချက်
မတ်/n|ဝါဒ/n	မတ်ဝါဒ
အနုပဋိလောမ/n|နည်း/n	အနုပဋိလောမနည်း
ရုပ်/n|ဝါဒ/n	ရုပ်ဝါဒ
ထိုင်း/n|နိုင်ငံ/n	ထိုင်းနိုင်ငံ
အျူကားရား/n|ဒိုမိန်း/n	အျူကားရားဒိုမိန်း
အရှေ့တောင်/n|အာရှ/n	အရှေ့တောင်အာရှ
နိုဝင်ဘာ/n|လ/n	နိုဝင်ဘာလ
အဖွဲ့/n|ဝင်/v	အဖွဲ့ဝင်
သဘောတူညီ/v|မှု/part	သဘောတူညီမှု
ပါ/v|ရှိ/part|ခြင်း/part	ပါရှိခြင်း
အိန္ဒိယ/n|နိုင်ငံ/n	အိန္ဒိယနိုင်ငံ
အုပ်စု/n|ဝင်/v	အုပ်စုဝင်
အရှေ့မြောက်/n|ပိုင်း/part	အရှေ့မြောက်ပိုင်း
ဟိမဝန္တာ/n|တောင်တန်း/n|ဒေသ/n	ဟိမဝန္တာတောင်တန်းဒေသ
အုပ်စု/n|ဝင်/v	အုပ်စုဝင်
အနောက်/n|နိုင်ငံသား/n	အနောက်နိုင်ငံသား
ရေးသား/v|ပြုစု/v|သူ/n	ရေးသားပြုစုသူ
မစ္စတာ/n|ဘရောင်း/n	မစ္စတာဘရောင်း
ယူရေးနပ်စ်/n|ဂြိုဟ်/n	ယူရေးနပ်စ်ဂြိုဟ်
ဥပမာ/n|စကား/n	ဥပမာစကား
ကောင်းကင်/n|နိုင်ငံတော်/n	ကောင်းကင်နိုင်ငံတော်
ကြဲ/v|သော/part|သူ/n	ကြဲသောသူ
ပေါင်နှံ/v|ထား/part|ခြင်း/part	ပေါင်နှံထားခြင်း
အဓိပ္ပါယ်/n|ဖွင့်ဆို/v|ချက်/part	အဓိပ္ပါယ်ဖွင့်ဆိုချက်
စံ/n|သတ်မှတ်/v|ချက်/part	စံသတ်မှတ်ချက်
စီးပွား/n|ရေး/part	စီးပွားရေး
လက်လှမ်းမီ/v|ရာ/part	လက်လှမ်းမီရာ
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
လေ့လာ/v|မှု/part	လေ့လာမှု
ဆက်စပ်/v|နေ/part|ကြောင်း/part	ဆက်စပ်နေကြောင်း
ကဏ္ဍ/n|ကြီး/part	ကဏ္ဍကြီး
အင်္ဂလိပ်/n|စကား/n	အင်္ဂလိပ်စကား
အဖွဲ့/n|ဝင်/v	အဖွဲ့ဝင်
စပါး/n|မျိုးစေ့/n	စပါးမျိုးစေ့
ပံ့ပိုး/v|မှု/part	ပံ့ပိုးမှု
စုပေါင်း/v|ပိုင်ဆိုင်/v|မှု/part	စုပေါင်းပိုင်ဆိုင်မှု
ဘက်တစ်/n|ဘုရားရှိခိုးကျောင်း/n	ဘက်တစ်ဘုရားရှိခိုးကျောင်း
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
ညီညွတ်/v|ရေး/part	ညီညွတ်ရေး
မြန်မာ့/n|သမိုင်း/n	မြန်မာ့သမိုင်း
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
သဘာဝ/n|ဘေးအန္တရာယ်/n	သဘာဝဘေးအန္တရာယ်
နာဂစ်/n|ဆိုင်ကလုန်း/n	နာဂစ်ဆိုင်ကလုန်း
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
မေ/n|လ/n	မေလ
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
ကောင်းစား/v|ရေး/part	ကောင်းစားရေး
သိပ္ပံ/n|ပညာရှင်/n	သိပ္ပံပညာရှင်
မဂို/n|မင်း/n	မဂိုမင်း
မဂို/n|နိုင်ငံတော်/n	မဂိုနိုင်ငံတော်
မှိုစွဲ/v|ခြင်း/part|ရောဂါ/n	မှိုစွဲခြင်းရောဂါ
မှိုစွဲ/v|ခြင်း/part|ရောဂါ/n	မှိုစွဲခြင်းရောဂါ
အရေပြား/n|ရောဂါ/n	အရေပြားရောဂါ
ဖြစ်/v|သူ/n	ဖြစ်သူ
စာရေးဆရာမ/n|မနော်ဟရီ/n	စာရေးဆရာမမနော်ဟရီ
ဖြစ်/v|သူ/n	ဖြစ်သူ
သိပ္ပံနည်းလမ်းကျန/v|မှု/part	သိပ္ပံနည်းလမ်းကျနမှု
သုံးသပ်/v|ခြင်း/part	သုံးသပ်ခြင်း
ဝါဆို/n|လ/n	ဝါဆိုလ
စက်/n|နာရီ/n	စက်နာရီ
စက်/n|နာရီ/n	စက်နာရီ
ဓာတ်မ/n|တိုင်/n	ဓာတ်မတိုင်
ဥရောပ/n|တိုက်/n	ဥရောပတိုက်
တောင်/n|ပိုင်း/part	တောင်ပိုင်း
မြင်း/n|ရိုး/n	မြင်းရိုး
တူးဖော်/v|ရရှိ/v|ခြင်း/part	တူးဖော်ရရှိခြင်း
သတ်ဖြတ်/v|စားသောက်/v|ကြ/part|ကြောင်း/part	သတ်ဖြတ်စားသောက်ကြကြောင်း
နက်ပကျွန်း/n|ဂြိုဟ်/n	နက်ပကျွန်းဂြိုဟ်
ဖန်တီး/v|မှု/part	ဖန်တီးမှု
မတ်/n|လ/n	မတ်လ
ဥရောပ/n|သမဂ္ဂ/n	ဥရောပသမဂ္ဂ
အလုပ်ခိုင်း/v|စေ/part|မှု/part	အလုပ်ခိုင်းစေမှု
ချိုးဖောက်/v|မှု/part	ချိုးဖောက်မှု
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ကုန်သွယ်/v|ရေး/part	ကုန်သွယ်ရေး
ပြင်/v|ထား/part|ကြောင်း/part	ပြင်ထားကြောင်း
ဘောလုံး/n|ကြီး/part	ဘောလုံးကြီး
တရုတ်/n|ပြည်/n	တရုတ်ပြည်
စည်းလုံး/v|ညီညွတ်/v|မှု/part	စည်းလုံးညီညွတ်မှု
မင်း/n|နေပြည်တော်/n	မင်းနေပြည်တော်
ယူဆ/v|ချက်/part	ယူဆချက်
အမ/n|ဓာတ်/n	အမဓာတ်
ကက်သုတ်/n|ရောင်ခြည်/n	ကက်သုတ်ရောင်ခြည်
အဖို/n|ဓာတ်/n	အဖိုဓာတ်
ကက်သုတ်/n|ရောင်ခြည်/n	ကက်သုတ်ရောင်ခြည်
ပေါ်ထွက်/v|လာ/part|ကြောင်း/part	ပေါ်ထွက်လာကြောင်း
ရေကြည်/n|ကန်/n	ရေကြည်ကန်
ရေနောက်/n|ကန်/n	ရေနောက်ကန်
ရှိ/v|ခြင်း/part	ရှိခြင်း
ကွန်မြူနစ်/n|ခေါင်းဆောင်/n	ကွန်မြူနစ်ခေါင်းဆောင်
ဂျပန်/n|ခေတ်/n	ဂျပန်ခေတ်
သခင်/n|စိုး/v	သခင်စိုး
သစ်တော/n|နှင့်/conj|လယ်ယာ/n|စိုက်ပျိုး/v|ရေး/part|ဝန်ကြီး/n	သစ်တောနှင့်လယ်ယာစိုက်ပျိုးရေးဝန်ကြီး
သခင်/n|သန်းထွန်း/n	သခင်သန်းထွန်း
သခင်/n|ဗဟိန်း/n	သခင်ဗဟိန်း
အစာ/n|ကွင်းဆက်/n	အစာကွင်းဆက်
အခန်း/n|ကဏ္ဍ/n	အခန်းကဏ္ဍ
ဖွံ့ဖြိုး/adj|တိုးတက်/v|မှု/part	ဖွံ့ဖြိုးတိုးတက်မှု
လူနေမှု/n|အဆင့်အတန်း/n	လူနေမှုအဆင့်အတန်း
ကမ္ဘာ့/n|ငွေကြေး/n|ဈေးကွက်/n	ကမ္ဘာ့ငွေကြေးဈေးကွက်
ငွေ/n|လဲနှုန်း/n	ငွေလဲနှုန်း
အားနည်း/adj|ချက်/part	အားနည်းချက်
